date,tot-value,vol,sharpe,pnl-pt
1982-07-06,99516.894012,0.000059,-35.678615,-1.963845
1982-07-07,99500.023609,0.000013,-171.746618,-2.024196
1982-07-08,99465.599068,0.000016,-148.535117,-2.154842
1982-07-09,99552.591637,0.000029,-66.546805,-1.796821
1982-07-12,99552.591637,0.000011,-169.578199,-1.789633
1982-07-13,99534.774135,0.000013,-159.843948,-1.853490
1982-07-14,99461.907404,0.000025,-93.626375,-2.135288
1982-07-15,99627.001046,0.000052,-31.357383,-1.474304
1982-07-16,99627.001046,0.000011,-142.721797,-1.468500
1982-07-19,99608.355203,0.000013,-134.676397,-1.535862
1982-07-20,99627.257423,0.000013,-127.622163,-1.456026
1982-07-21,99588.877344,0.000016,-110.788205,-1.599699
1982-07-22,99627.778372,0.000016,-99.348589,-1.442719
1982-07-23,99568.563243,0.000021,-89.337096,-1.665779
1982-07-26,99588.621598,0.000013,-140.422117,-1.582225
1982-07-27,99506.990062,0.000027,-79.953151,-1.888927
1982-07-28,99402.227748,0.000033,-78.378628,-2.281573
1982-07-29,99359.333866,0.000017,-164.847772,-2.435993
1982-07-30,99445.924240,0.000028,-85.760839,-2.098772
1982-08-02,99424.111927,0.000013,-195.819930,-2.173163
1982-08-03,99357.463142,0.000023,-123.845734,-2.415552
1982-08-04,99243.621903,0.000035,-93.067496,-2.832877
1982-08-05,99243.621903,0.000011,-299.711356,-2.822306
1982-08-06,99220.086599,0.000013,-262.329476,-2.899306
1982-08-09,99314.863105,0.000030,-99.486637,-2.537544
1982-08-10,99314.863105,0.000011,-273.237564,-2.528180
1982-08-11,99290.738239,0.000013,-238.427640,-2.607580
1982-08-12,99339.449748,0.000018,-160.326825,-2.419598
1982-08-13,99412.753034,0.000024,-106.579753,-2.143237
1982-08-16,99749.813440,0.000098,-11.052815,-0.909769
1982-08-17,99581.227698,0.000050,-36.527467,-1.517291
1982-08-18,99703.296281,0.000037,-34.978567,-1.071133
1982-08-19,99944.767171,0.000070,-3.413210,-0.198679
1982-08-20,100228.856444,0.000082,12.101827,0.820274
1982-08-23,100157.953758,0.000023,30.007999,0.564121
1982-08-24,100371.190169,0.000062,26.112940,1.320961
1982-08-25,100394.817447,0.000013,135.616307,1.400062
1982-08-26,100323.031714,0.000023,61.197751,1.141455
1982-08-27,100249.968137,0.000023,46.791382,0.880169
1982-08-30,100299.219857,0.000018,74.130290,1.049894
1982-08-31,100274.386333,0.000013,94.072454,0.959393
1982-09-01,100571.161871,0.000084,29.479419,1.990111
1982-09-02,100546.534385,0.000013,188.533187,1.897689
1982-09-03,100421.298009,0.000036,50.100396,1.457779
1982-09-07,100189.675516,0.000065,12.583144,0.654054
1982-09-08,100163.359400,0.000013,55.577425,0.561373
1982-09-09,100056.421911,0.000031,7.777037,0.193226
1982-09-10,100244.530521,0.000053,19.902888,0.834575
1982-09-13,100378.015656,0.000038,42.671827,1.285768
1982-09-14,100351.217927,0.000013,119.708095,1.190569
1982-09-15,100351.217927,0.000010,146.979968,1.186547
1982-09-16,100213.770436,0.000039,23.690763,0.719766
1982-09-17,100185.825981,0.000013,62.819534,0.623577
1982-09-20,100185.825981,0.000010,78.301085,0.621492
1982-09-21,100128.738811,0.000019,29.932683,0.429129
1982-09-22,99954.161562,0.000049,-4.081126,-0.152287
1982-09-23,99954.161562,0.000010,-19.452892,-0.151783
1982-09-24,99954.161562,0.000010,-19.491298,-0.151282
1982-09-27,100073.827620,0.000034,9.388492,0.242854
1982-09-28,99953.173529,0.000034,-5.938743,-0.153529
1982-09-29,99861.071055,0.000027,-22.425743,-0.454016
1982-09-30,100197.886696,0.000092,9.368530,0.644582
1982-10-01,100013.933509,0.000051,1.196485,0.045239
1982-10-04,100137.879027,0.000035,17.150759,0.446210
1982-10-05,100504.924660,0.000099,22.115077,1.628789
1982-10-06,100625.756787,0.000034,80.134827,2.012080
1982-10-07,100686.198528,0.000019,156.397037,2.192328
1982-10-08,101134.056151,0.000119,41.145168,3.600178
1982-10-11,101014.632800,0.000033,133.420995,3.200734
1982-10-12,101014.980355,0.000010,439.337485,3.181757
1982-10-13,100552.868370,0.000122,19.579152,1.722331
1982-10-14,100645.939780,0.000027,104.059928,1.999814
1982-10-15,101174.180647,0.000139,36.567367,3.612864
1982-10-18,101083.655315,0.000026,180.009416,3.313931
1982-10-19,101334.686018,0.000065,88.670147,4.056796
1982-10-20,101182.757228,0.000041,123.606570,3.573285
1982-10-21,101275.733874,0.000026,209.806068,3.831033
1982-10-22,100693.273494,0.000150,20.041211,2.069473
1982-10-25,100792.208162,0.000027,125.080691,2.350766
1982-10-26,100861.423570,0.000020,189.527326,2.541072
1982-10-27,100861.423570,0.000010,380.791547,2.526169
1982-10-28,101415.970509,0.000143,42.774035,4.128194
1982-10-29,101457.645830,0.000013,491.911704,4.225060
1982-11-01,101341.412278,0.000035,167.503668,3.865741
1982-11-02,101903.919355,0.000140,58.581402,5.455356
1982-11-03,101649.154404,0.000066,107.801473,4.698446
1982-11-04,101576.892463,0.000019,354.338317,4.467117
1982-11-05,101233.188945,0.000085,62.506862,3.473772
1982-11-08,101510.953496,0.000069,94.493537,4.232363
1982-11-09,101284.791212,0.000061,91.448868,3.578806
1982-11-10,101371.810436,0.000020,298.528270,3.800029
1982-11-11,101296.975244,0.000020,282.239075,3.572935
1982-11-12,101009.072546,0.000071,61.056783,2.764582
1982-11-15,100920.327073,0.000020,195.278269,2.507703
1982-11-16,101291.395601,0.000090,61.836285,3.499717
1982-11-17,101675.998735,0.000097,74.554377,4.517517
1982-11-18,101460.141435,0.000053,118.181100,3.914588
1982-11-19,101260.098226,0.000046,119.506436,3.360262
1982-11-22,100965.627553,0.000073,56.858632,2.561346
1982-11-23,101157.809375,0.000047,106.615336,3.054906
1982-11-24,101406.190616,0.000064,94.374586,3.690789
1982-11-26,101367.943239,0.000013,452.305854,3.571653
1982-11-29,101810.107853,0.000099,78.614165,4.701579
1982-11-30,101998.379569,0.000045,190.353077,5.163771
1982-12-01,102070.014041,0.000020,446.013100,5.321373
1982-12-02,101914.262908,0.000037,225.123679,4.895813
1982-12-03,102302.091916,0.000089,111.420499,5.857740
1982-12-06,102522.200152,0.000053,204.173889,6.385317
1982-12-07,102581.572364,0.000020,562.856631,6.502701
1982-12-08,102374.821997,0.000045,228.980099,5.951935
1982-12-09,101893.670783,0.000108,75.7
